date,item_name,total_amount_sold
2023-07-07,BLACK VELVET,8235
2023-09-20,BLACK VELVET,3683
2023-08-02,BLACK VELVET,2819
2023-11-30,BLACK VELVET,2075
2023-05-22,BLACK VELVET,5891
2023-06-06,BLACK VELVET,5297
2024-01-15,BLACK VELVET,2813
2023-12-04,BLACK VELVET,1571
2024-03-25,BLACK VELVET,2992
2023-11-09,BLACK VELVET,3986
2023-04-19,BLACK VELVET,2786
2023-10-11,BLACK VELVET,4756
2023-04-25,BLACK VELVET,4441
2023-11-14,BLACK VELVET,5364
2023-09-25,BLACK VELVET,2292
2023-12-21,BLACK VELVET,2920
2023-09-26,BLACK VELVET,6788
2024-03-07,BLACK VELVET,3175
2024-03-12,BLACK VELVET,4191
2023-11-22,BLACK VELVET,4118
2023-11-13,BLACK VELVET,1746
2023-09-04,BLACK VELVET,72
2023-03-29,BLACK VELVET,2651
2023-11-12,BLACK VELVET,975
2024-03-15,BLACK VELVET,2953
2023-02-02,BLACK VELVET,3861
2023-12-12,BLACK VELVET,6718
2023-06-28,BLACK VELVET,3617
2024-03-26,BLACK VELVET,4911
2023-11-26,BLACK VELVET,1502
2023-01-16,BLACK VELVET,2879
2024-01-07,BLACK VELVET,652
2023-10-31,BLACK VELVET,3964
2023-05-03,BLACK VELVET,6162
2023-12-09,BLACK VELVET,5386
2023-05-10,BLACK VELVET,3699
2023-12-15,BLACK VELVET,5223
2024-03-17,BLACK VELVET,1774
2024-01-03,BLACK VELVET,3810
2023-07-13,BLACK VELVET,2899
2023-04-12,BLACK VELVET,2806
2023-07-25,BLACK VELVET,4185
2023-06-21,BLACK VELVET,3633
2023-11-02,BLACK VELVET,3463
2024-02-12,BLACK VELVET,2969
2024-03-11,BLACK VELVET,2935
2023-03-09,BLACK VELVET,3106
2023-08-01,BLACK VELVET,4318
2023-03-27,BLACK VELVET,3110
2023-11-20,BLACK VELVET,2508
2023-10-02,BLACK VELVET,4413
2023-01-09,BLACK VELVET,3342
2023-07-03,BLACK VELVET,4404
2023-05-15,BLACK VELVET,4410
2024-02-13,BLACK VELVET,3346
2023-08-07,BLACK VELVET,3348
2024-02-09,BLACK VELVET,3837
2023-02-03,BLACK VELVET,9367
2023-12-20,BLACK VELVET,4123
2023-05-04,BLACK VELVET,4391
2023-01-12,BLACK VELVET,3176
2024-03-22,BLACK VELVET,3450
2023-01-19,BLACK VELVET,2180
2023-12-06,BLACK VELVET,13432
2023-11-28,BLACK VELVET,2591
2024-01-02,BLACK VELVET,3744
2023-05-30,BLACK VELVET,4280
2023-12-27,BLACK VELVET,5567
2023-08-31,BLACK VELVET,3757
2023-03-01,BLACK VELVET,2925
2023-01-13,BLACK VELVET,3194
2023-03-23,BLACK VELVET,3349
2023-06-20,BLACK VELVET,4588
2023-04-18,BLACK VELVET,4016
2023-01-26,BLACK VELVET,3168
2024-03-01,BLACK VELVET,3680
2023-08-10,BLACK VELVET,2584
2023-05-11,BLACK VELVET,4104
2023-03-15,BLACK VELVET,2483
2024-01-01,BLACK VELVET,12
2023-07-28,BLACK VELVET,5977
2023-03-20,BLACK VELVET,3103
2023-03-30,BLACK VELVET,1863
2023-05-08,BLACK VELVET,4093
2024-01-24,BLACK VELVET,3105
2023-07-11,BLACK VELVET,4630
2023-07-20,BLACK VELVET,2180
2024-01-29,BLACK VELVET,3227
2023-05-24,BLACK VELVET,5271
2023-01-06,BLACK VELVET,2614
2023-01-27,BLACK VELVET,6252
2023-07-27,BLACK VELVET,3090
2023-10-16,BLACK VELVET,3353
2023-04-06,BLACK VELVET,3071
2023-07-26,BLACK VELVET,4921
2023-12-30,BLACK VELVET,3127
2024-02-06,BLACK VELVET,7630
2023-04-14,BLACK VELVET,4526
2023-04-11,BLACK VELVET,3923
2024-02-14,BLACK VELVET,5693
2023-03-06,BLACK VELVET,3537
2024-01-30,BLACK VELVET,4877
2023-01-23,BLACK VELVET,2844
2023-03-16,BLACK VELVET,2850
2023-06-09,BLACK VELVET,4575
2023-07-05,BLACK VELVET,5216
2023-06-08,BLACK VELVET,3109
2023-02-21,BLACK VELVET,7223
2024-03-08,BLACK VELVET,2743
2023-06-26,BLACK VELVET,1527
2024-02-04,BLACK VELVET,1265
2024-02-21,BLACK VELVET,4552
2024-03-13,BLACK VELVET,2573
2023-06-29,BLACK VELVET,5044
2024-01-04,BLACK VELVET,3209
2023-10-27,BLACK VELVET,4603
2023-01-31,BLACK VELVET,5027
2023-12-14,BLACK VELVET,3653
2023-11-03,BLACK VELVET,3163
2023-02-08,BLACK VELVET,6712
2023-05-26,BLACK VELVET,5881
2023-08-14,BLACK VELVET,3133
2023-10-05,BLACK VELVET,3369
2023-04-03,BLACK VELVET,3086
2023-12-16,BLACK VELVET,1059
2023-11-15,BLACK VELVET,3508
2023-03-24,BLACK VELVET,4779
2023-03-26,BLACK VELVET,6
2023-05-18,BLACK VELVET,3354
2024-02-08,BLACK VELVET,5453
2024-01-23,BLACK VELVET,2863
2023-05-16,BLACK VELVET,6033
2023-05-02,BLACK VELVET,7810
2023-10-22,BLACK VELVET,2216
2023-01-24,BLACK VELVET,3772
2023-06-27,BLACK VELVET,5955
2023-06-16,BLACK VELVET,4839
2024-02-22,BLACK VELVET,3796
2023-08-28,BLACK VELVET,1519
2023-04-26,BLACK VELVET,3982
2023-09-08,BLACK VELVET,6348
2023-07-18,BLACK VELVET,4023
2024-03-29,BLACK VELVET,4572
2024-02-23,BLACK VELVET,2719
2023-05-31,BLACK VELVET,7198
2023-10-12,BLACK VELVET,3214
2023-06-22,BLACK VELVET,2784
2023-02-28,BLACK VELVET,3564
2024-02-25,BLACK VELVET,3953
2023-09-19,BLACK VELVET,5316
2023-02-16,BLACK VELVET,2842
2023-07-14,BLACK VELVET,5109
2024-03-24,BLACK VELVET,621
2023-02-17,BLACK VELVET,5297
2024-01-18,BLACK VELVET,2449
2023-09-15,BLACK VELVET,5201
2023-11-23,BLACK VELVET,684
2024-03-04,BLACK VELVET,2019
